kode_buku,judul,jilid,isbn,pengarang,class_id,tmp_penerbit,penerbit,tahun_terbit,stok_buku,sisa_exemplar,deskripsi,cover
BK000001,Rahasia Kehidupan Cinta Nabi Muhammad S.A.W: Mengungkap Sisi Romantis Rasulullah Beserta Istri-Istrinya,-,979-16013-4-8,Joko Syahban,21,Yoygakarta,Beranda Publishing,2010,4,4,-,
BK000002,Mutiara-Mutiara Dakwah K.H. Hasyim Asy'Ari,-,978-602-96744-3-9,Dr. Samsul Ma'arif,21,Bogor,Kanza,2011,3,3,-,
BK000003,Ilmuwan-Ilmuwan Muslim Yang Mengubah Dunia,-,978-979-727-579-2,Muhammad Ali Ustman,21,Yogyakarta,Beranda Publishing,2010,3,3,-,
BK000004,Shalawat Bukti Cinta Rasul,-,-,Abu Bakar bin Muhammad Al-Hambali,21,Surakarta,Insan Kamil,2014,4,4,-,
BK000005,Rahasia Meraih Kekhusyu'an Shalat,-,978-602-967-441-5,Syekh Mahmud Badi,21,Jakarta,Kanza,2011,4,4,-,
BK000006,Juz 'Amma Untuk Sobat Cilik,-,978-979-1948-93-7,Tim Kreatif Regina,21,Bogor,Regina,2011,4,4,-,
BK000007,Sekilas Mengenal Ekspor dan Impor,-,978-602-7607-67-5,"Dr. Ratni Heliati S.E, M.Si., Drs Kosasih A. Darsono, M.M.",21,Bandung,CV. Thursina,2013,3,3,-,
BK000008,Al-Adzkar Imam An Nawawi: Ensiklopedi Dzikir dan Doa yang bersumber dari Alquran dan Al-Hdist,-,978-602-6337-20-7,Ishamuddin Ash Shababti,21,Sukoharjo,Kuttab,2013,4,4,-,
BK000009,Shahih Fiqh Sunnah Wanita: Hukum-hukum Fiqih Yang Wajib diketahui Oleh Setiap Muslim,-,-,Abu Malik Kanal Bin Sayyid Salim,21,Solo,Al Hambra,2015,4,4,-,
BK000010,Bungkus Unik Kado Cantik,-,978-602-96430-1-8,Lanny Surya Kusuma,61,Bandung,TeenSmart,2009,5,5,-,
BK000011,Ternyata Aku Perlu Tahu Hadis Loh!,-,-,Nashruddin Syarief M. Pd.I.,21,Bandung,PT Ikhlas Media,2009,4,4,-,
BK000012,Masakan Sunda Populer & Lezat,-,978-979-1477-08-6,Yeni Ismayani,61,Jakarta,Kriya Pustaka,2008,5,5,-,
BK000013,Masakan Jawa Populer & Lezat,-,978-979-1477-23-9,Siti Fatimah,61,Jakarta,Kriya Pustaka,2008,5,5,-,
BK000014,50 Masakan Rumahan Favorit & Lezat,-,978-979-1477-70-3,Aiwida Farida,61,Jakarta,Kriya Pustaka,2009,5,5,-,
